,Npy1r,Drd1,Sema3c,Drd2,Htr2c,Htr1b,Vdr,Gpx3,Dlk1,Vgf,Ppp1r1b,Nefm,Cartpt,Prkcd,Tac1,Penk,Gal,Sst,Pdyn,Nts,Tac2,Ebf1,Crym,Gad1,Cyp26b1,Crh,Oprk1,Vipr2,Scn4b,y,x
m264M_4,11.0,16.0,3.0,23.0,34.0,37.0,9.0,20.0,2.0,271.0,15.0,141.0,1.0,0.0,3.0,14.0,2.0,13.0,9.0,3.0,2.0,8.0,211.0,12.0,168.0,0.0,36.0,1.0,7.0,974.77632184483,837.3947596418387
m264M_5,9.0,0.0,2.0,8.0,8.0,16.0,0.0,2.0,10.0,186.0,118.0,0.0,2.0,61.0,2.0,102.0,0.0,2.0,17.0,2.0,1.0,4.0,36.0,119.0,29.0,2.0,7.0,2.0,0.0,718.6791400729692,700.5119761695839
m264M_9,4.0,0.0,12.0,27.0,11.0,11.0,3.0,5.0,11.0,152.0,28.0,3.0,8.0,19.0,0.0,24.0,4.0,5.0,5.0,0.0,9.0,8.0,14.0,133.0,1.0,4.0,11.0,0.0,0.0,352.4914668360595,633.2996125138957
m264M_14,28.0,16.0,3.0,25.0,10.0,45.0,0.0,5.0,1.0,120.0,44.0,154.0,2.0,6.0,2.0,15.0,4.0,8.0,7.0,1.0,0.0,10.0,104.0,9.0,86.0,1.0,21.0,2.0,6.0,679.8071604079122,1053.2313829929606
m264M_19,26.0,16.0,5.0,24.0,13.0,21.0,6.0,21.0,3.0,247.0,16.0,190.0,1.0,3.0,3.0,19.0,3.0,22.0,4.0,1.0,3.0,22.0,124.0,17.0,101.0,1.0,62.0,6.0,13.0,711.9718436348926,941.0213349798796
m264M_36,27.0,10.0,2.0,32.0,30.0,18.0,9.0,22.0,5.0,167.0,37.0,128.0,2.0,3.0,2.0,21.0,6.0,11.0,10.0,1.0,1.0,27.0,149.0,13.0,112.0,1.0,47.0,3.0,5.0,735.0967566923033,1015.9647952065822
m264M_40,5.0,4.0,0.0,31.0,73.0,59.0,0.0,1.0,1.0,88.0,172.0,4.0,3.0,8.0,3.0,80.0,1.0,388.0,218.0,0.0,4.0,30.0,121.0,133.0,6.0,4.0,7.0,3.0,13.0,515.592142955833,852.103720351863
m264M_41,4.0,0.0,1.0,13.0,60.0,15.0,3.0,18.0,22.0,139.0,54.0,16.0,2.0,2.0,1.0,33.0,0.0,36.0,64.0,253.0,137.0,9.0,32.0,149.0,25.0,19.0,0.0,4.0,0.0,784.6889911851126,399.6941234084232
m264M_46,6.0,1.0,1.0,37.0,67.0,8.0,4.0,59.0,10.0,7.0,5.0,8.0,2.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,1.0,7.0,5.0,238.0,7.0,1.0,7.0,0.0,1.0,997.62501605622,494.7050058174712
m264M_52,42.0,31.0,4.0,21.0,40.0,25.0,9.0,29.0,4.0,239.0,69.0,270.0,0.0,4.0,0.0,62.0,3.0,17.0,8.0,3.0,5.0,19.0,91.0,16.0,258.0,0.0,40.0,1.0,5.0,544.6109720235712,1002.7405492305052
m264M_61,4.0,5.0,0.0,8.0,4.0,7.0,2.0,5.0,14.0,140.0,12.0,31.0,1.0,0.0,0.0,141.0,1.0,12.0,14.0,0.0,0.0,9.0,48.0,88.0,1.0,1.0,0.0,0.0,2.0,1057.4225273963102,650.8694673325011
m264M_64,39.0,3.0,15.0,29.0,121.0,9.0,1.0,2.0,2.0,28.0,11.0,16.0,1.0,1.0,6.0,12.0,6.0,5.0,3.0,1.0,0.0,4.0,8.0,217.0,26.0,3.0,6.0,1.0,1.0,535.8030382099316,1072.3037020517395
m264M_70,18.0,32.0,2.0,62.0,51.0,20.0,2.0,18.0,4.0,496.0,18.0,217.0,0.0,1.0,3.0,30.0,6.0,19.0,5.0,3.0,3.0,30.0,91.0,46.0,213.0,1.0,46.0,5.0,11.0,700.8199169566137,1036.714939351416
m264M_72,14.0,4.0,0.0,23.0,42.0,44.0,8.0,11.0,2.0,79.0,153.0,5.0,5.0,4.0,0.0,75.0,2.0,337.0,169.0,3.0,5.0,38.0,111.0,84.0,1.0,2.0,0.0,0.0,11.0,391.5305707022004,820.2028447444552
m264M_75,7.0,2.0,0.0,16.0,83.0,12.0,4.0,6.0,35.0,126.0,111.0,5.0,2.0,14.0,2.0,19.0,1.0,112.0,126.0,62.0,252.0,16.0,65.0,104.0,7.0,23.0,4.0,74.0,0.0,585.4110430038511,646.9879578519467
m264M_76,1.0,1.0,3.0,9.0,8.0,54.0,10.0,27.0,2.0,477.0,29.0,276.0,5.0,1.0,5.0,45.0,2.0,14.0,4.0,1.0,3.0,21.0,165.0,11.0,110.0,1.0,11.0,0.0,7.0,645.2825126135217,956.9332996972756
